Deep size	Num units	Learning rate	Accuracy	Tiempo de ejecución
6	89	0.0001	0.9682999849319458	34.943660497665405
3	89	0.01	0.9682999849319458	22.776426792144775
7	4	0.05	0.9682999849319458	21.945297956466675
4	31	0.01	0.9682999849319458	21.74397087097168
4	13	0.005	0.9682999849319458	21.632333517074585
3	89	0.005	0.9682999849319458	20.470807313919067
5	26	0.0005	0.9682999849319458	20.18449592590332
4	26	0.0005	0.9682999849319458	20.119604349136353
3	8	0.001	0.9682999849319458	15.762044191360474
2	16	0.001	0.9682999849319458	14.579343557357788
9	89	0.0001	0.9682000279426575	83.5126268863678
9	16	0.001	0.9682000279426575	42.78262519836426
7	42	0.0001	0.9682000279426575	42.371920585632324
8	68	0.01	0.9682000279426575	33.412134647369385
3	10	0.001	0.9682000279426575	21.552975177764893
8	10	0.0005	0.9682000279426575	21.09819006919861
2	55	0.001	0.9682000279426575	18.54281759262085
9	6	0.005	0.9681000113487244	43.23905301094055
9	55	0.001	0.9681000113487244	42.62008857727051
7	89	5e-05	0.9681000113487244	38.80262899398804
8	26	0.0005	0.9681000113487244	25.23873281478882
5	10	0.001	0.9681000113487244	22.32626748085022
7	10	0.005	0.9681000113487244	21.942779302597046
4	31	0.0005	0.9681000113487244	21.747657537460327
4	16	0.0005	0.9681000113487244	21.625054121017456
7	16	0.005	0.9681000113487244	19.545292615890503
5	13	0.001	0.9681000113487244	18.555097579956055
2	26	0.001	0.9681000113487244	17.175206899642944
7	8	0.005	0.9681000113487244	17.116565465927124
3	16	0.005	0.9681000113487244	15.52961254119873
9	55	0.01	0.9679999947547913	43.10171842575073
6	89	0.0005	0.9679999947547913	36.70684361457825
9	5	0.005	0.9679999947547913	22.77288031578064
8	21	0.001	0.9679999947547913	22.621272087097168
6	21	0.0005	0.9679999947547913	21.85450029373169
6	13	0.01	0.9679999947547913	21.8312885761261
5	6	0.005	0.9679999947547913	21.702746391296387
4	42	0.001	0.9679999947547913	21.636616945266724
7	8	0.001	0.9679999947547913	19.428686380386353
3	21	0.001	0.9679999947547913	17.48494267463684
2	21	0.005	0.9679999947547913	16.389893293380737
3	26	0.001	0.9679999947547913	14.530350923538208
3	26	0.01	0.9679999947547913	12.31788682937622
7	55	0.005	0.9678999781608582	42.361276388168335
3	89	0.0005	0.9678999781608582	25.608412981033325
6	55	0.01	0.9678999781608582	23.977320432662964
4	68	0.0001	0.9678999781608582	23.540171146392822
7	6	0.01	0.9678999781608582	22.669904708862305
5	21	0.001	0.9678999781608582	21.93803596496582
7	42	0.01	0.9678999781608582	21.894997596740723
6	13	0.0005	0.9678999781608582	21.86004328727722
5	8	0.001	0.9678999781608582	21.76416802406311
3	21	0.0005	0.9678999781608582	21.677533626556396
8	89	0.0001	0.9678000211715698	50.29567241668701
7	89	0.0001	0.9678000211715698	43.02314567565918
9	68	0.0001	0.9678000211715698	42.74111294746399
8	55	0.0001	0.9678000211715698	30.322611093521118
9	26	0.01	0.9678000211715698	23.106200695037842
7	26	0.01	0.9678000211715698	22.404103994369507
6	10	0.001	0.9678000211715698	21.85844397544861
6	5	0.001	0.9678000211715698	21.79833745956421
5	21	0.0005	0.9678000211715698	21.201167345046997
6	21	0.001	0.9678000211715698	20.311840295791626
5	42	0.01	0.9678000211715698	16.466758251190186
3	68	0.01	0.9678000211715698	13.96120548248291
2	5	0.01	0.9678000211715698	13.702368259429932
6	26	0.001	0.9677000045776367	42.43210577964783
8	21	0.005	0.9677000045776367	24.196022033691406
