Deep size	Num units	Learning rate	Batch size	Epochs	Error	Tiempo de ejecución
12	4	0.0008	16	50	0.00035529931310315945	179.76329827308655
16	4	0.0016	2	100	0.00037240523484268346	2274.3761472702026
12	4	0.0016	2	100	0.0003730901035164741	1783.248173236847
16	4	0.0024000000000000002	4	100	0.0004353140821364898	824.5341737270355
16	4	0.0016	16	50	0.0005175509548855725	208.40701413154602
16	4	0.0032	8	50	0.0005175983344506327	385.5603725910187
16	4	0.0032	16	50	0.5238615983829501	189.20580339431763
16	4	0.0032	16	50	0.5238615983829501	200.30104279518127
8	4	0.0016	8	50	0.5238615983829501	312.1918568611145
8	4	0.0008	8	50	0.5238615983829501	329.7759895324707
16	4	0.0016	8	50	0.5238615983829501	380.30406308174133
12	4	0.0024000000000000002	4	50	0.5238615983829501	650.9821872711182
12	4	0.0008	4	100	0.5238615983829501	680.201174736023
16	4	0.0016	4	100	0.5238615983829501	697.7576596736908
16	4	0.0008	4	100	0.5238615983829501	706.3280172348022
16	4	0.0056	4	100	0.5238615983829501	728.4174344539642
16	4	0.0024000000000000002	4	100	0.5238615983829501	767.3743712902069
4	4	0.0008	2	50	0.5238615983829501	961.3201065063477
8	4	0.0016	2	50	0.5238615983829501	1205.7324347496033
12	4	0.0024000000000000002	2	50	0.5238615983829501	1269.8873672485352
12	4	0.0016	2	50	0.5238615983829501	1320.8043022155762
12	4	0.0008	2	50	0.5238615983829501	1355.936669588089
16	4	0.0016	2	50	0.5238615983829501	1385.3055047988892
16	4	0.0032	2	50	0.5238615983829501	1442.3509652614594
16	4	0.0016	2	50	0.5238615983829501	1448.8490362167358
16	4	0.0016	2	100	0.5238615983829501	1449.1955692768097
4	12	0.0016	16	50	10000.0	136.38549733161926
4	12	0.0032	16	50	10000.0	137.31244945526123
8	4	0.0032	16	50	10000.0	157.131596326828
8	8	0.0032	16	50	10000.0	158.52620887756348
8	8	0.0048000000000000004	16	100	10000.0	160.03091049194336
12	12	0.0048000000000000004	16	50	10000.0	185.61462879180908
16	16	0.0024000000000000002	16	100	10000.0	187.60093545913696
8	4	0.0016	8	50	10000.0	217.54769015312195
8	4	0.0016	8	50	10000.0	218.13911724090576
4	4	0.004	8	150	10000.0	272.61512899398804
4	4	0.004	8	100	10000.0	273.21086597442627
8	4	0.0016	8	50	10000.0	301.39014291763306
8	4	0.0016	8	50	10000.0	302.12033677101135
12	4	0.0016	8	50	10000.0	330.4662289619446
12	8	0.0032	8	100	10000.0	338.59574484825134
12	8	0.0032	8	100	10000.0	344.52006220817566
12	12	0.004	8	150	10000.0	347.49528527259827
16	12	0.004	8	150	10000.0	374.92604637145996
16	8	0.004	8	150	10000.0	376.3403208255768
16	4	0.0016	8	50	10000.0	389.0828540325165
4	4	0.0008	4	50	10000.0	481.4020357131958
4	8	0.0024000000000000002	4	50	10000.0	497.249876499176
4	8	0.0008	4	100	10000.0	504.5658838748932
4	16	0.0016	4	50	10000.0	509.5696132183075
8	8	0.0024000000000000002	4	50	10000.0	544.2094469070435
8	8	0.0024000000000000002	4	50	10000.0	557.962685585022
8	4	0.0024000000000000002	4	50	10000.0	572.2101438045502
8	4	0.0008	4	100	10000.0	580.4949967861176
8	12	0.0032	4	200	10000.0	594.9459009170532
12	4	0.0024000000000000002	4	100	10000.0	641.0394291877747
12	12	0.0016	4	50	10000.0	653.9551725387573
12	12	0.0024000000000000002	4	50	10000.0	664.9787318706512
12	16	0.0008	4	150	10000.0	665.2282626628876
12	8	0.0024000000000000002	4	100	10000.0	666.0077118873596
12	16	0.004	4	50	10000.0	667.6368610858917
12	12	0.0016	4	100	10000.0	689.1983222961426
16	8	0.0024000000000000002	4	50	10000.0	697.4426143169403
16	8	0.0024000000000000002	4	100	10000.0	698.2735705375671
16	8	0.0024000000000000002	4	100	10000.0	703.600706577301
16	8	0.0024000000000000002	4	100	10000.0	705.3332703113556
16	8	0.0024000000000000002	4	100	10000.0	716.4712915420532
16	16	0.0056	4	100	10000.0	736.8807504177094
